replica_id,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,ra_deg,dec_deg
36,-568736010.266900,452481735.776102,371217187.003633,14.573564,-55.564192,-37.925702,131.130846,30.903664
37,-568736010.266900,452481735.776102,371217187.003633,14.573564,-55.564192,-37.925702,131.130846,30.903664
38,-568736010.266900,452481735.776102,371217187.003633,14.573564,-55.564192,-37.925702,131.130846,30.903664
39,-568736010.266900,452481735.776102,371217187.003633,14.573564,-55.564192,-37.925702,131.130846,30.903664
40,-568736010.266900,452481735.776102,371217187.003633,14.573564,-55.564192,-37.925702,131.130846,30.903664
41,-568736010.266900,452481735.776102,371217187.003633,14.573564,-55.564192,-37.925702,131.130846,30.903664
42,-568736010.266900,452481735.776102,371217187.003633,14.573564,-55.564192,-37.925702,131.130846,30.903664
43,-568736010.266900,452481735.776102,371217187.003633,14.573564,-55.564192,-37.925702,131.130846,30.903664
44,-568736010.266900,452481735.776102,371217187.003633,14.573564,-55.564192,-37.925702,131.130846,30.903664
45,-568736010.266900,452481735.776102,371217187.003633,14.573564,-55.564192,-37.925702,131.130846,30.903664
46,-568736010.266900,452481735.776102,371217187.003633,14.573564,-55.564192,-37.925702,131.130846,30.903664
47,-568736010.266900,452481735.776102,371217187.003633,14.573564,-55.564192,-37.925702,131.130846,30.903664
48,-568736010.266900,452481735.776102,371217187.003633,14.573564,-55.564192,-37.925702,131.130846,30.903664
49,-568736010.266900,452481735.776102,371217187.003633,14.573564,-55.564192,-37.925702,131.130846,30.903664
50,-568736010.266900,452481735.776102,371217187.003633,14.573564,-55.564192,-37.925702,131.130846,30.903664
51,-568736010.266900,452481735.776102,371217187.003633,14.573564,-55.564192,-37.925702,131.130846,30.903664
52,-568736010.266900,452481735.776102,371217187.003633,14.573564,-55.564192,-37.925702,131.130846,30.903664
53,-568736010.266900,452481735.776102,371217187.003633,14.573564,-55.564192,-37.925702,131.130846,30.903664
